passenger_id,passenger_name,signup_date,total_rides,total_spent,rating
201,Nitya Varma,10/16/2022,12,200.11,3.54
202,Purab Jani,1/11/2023,60,368.52,3.94
203,Samar Raman,9/12/2022,91,1647.27,4.29
204,Tanya Dutt,3/9/2023,35,131.8,4.58
205,Badal Mangal,4/4/2023,49,933.96,4.47
206,Krish Upadhyay,2/2/2023,60,1314.8,3.41
207,Riaan Kaul,10/9/2022,53,254.75,3.28
208,Dhanush Sodhi,8/10/2022,75,1312.28,4.39
209,Sana Gill,6/11/2023,76,592.57,4.07
210,Aayush Singh,6/20/2023,64,1625.33,4.42
211,Hazel Jhaveri,5/15/2023,71,856.42,3.93
212,Tanya Chad,4/7/2023,38,688.68,4.14
213,Pranay Shanker,2/13/2023,14,1224.48,4.6
214,Neelofar Bhandari,11/1/2022,58,340.76,4.54
215,Hazel Jaggi,1/3/2023,85,837.11,3.35
216,Zain Thakur,9/25/2022,77,230.33,3.98
217,Uthkarsh Gara,9/7/2022,76,1120.46,4.43
218,Mahika Deep,9/13/2022,15,1035.58,4.04
219,Dhanuk Tara,2/19/2023,74,1606.8,4.27
220,Aarush Manne,5/3/2023,42,140.89,4.13
221,Kiaan Karan,1/8/2023,40,1978.25,3.22
222,Kiara Rao,6/16/2023,91,627.24,3.11
223,Kavya Sama,2/11/2023,48,151.5,3.93
224,Ehsaan Sastry,3/12/2023,98,453,3.3
225,Rhea Khosla,5/7/2023,46,1040.97,3.57
226,Mehul Butala,1/30/2023,73,855.4,3.61
227,Shlok Shere,12/1/2022,26,761.53,4.5
228,Hrishita Gara,10/14/2022,14,1410.46,4.37
229,Lavanya Ganesh,3/17/2023,87,584.41,3.45
230,Vidur Goda,9/26/2022,37,849.5,3.45
231,Ira Ben,2/10/2023,23,171.23,4.79
232,Indrans De,6/29/2023,44,1283.68,3.9
233,Indrans Gandhi,3/8/2023,85,624.37,4.16
234,Anya Thaman,1/20/2023,99,558.22,4.28
235,Ojas Chandran,12/12/2022,39,160.28,3.37
236,Shamik Bala,8/30/2022,40,1444.81,4.51
237,Saira Jayaraman,2/19/2023,78,350.41,4.19
238,Lakshit Batra,12/4/2022,62,1998.98,4.15
239,Shlok Brahmbhatt,11/12/2022,51,966.9,4.6
240,Darshit Shere,1/28/2023,67,997.01,4.75
241,Saanvi Bandi,2/21/2023,85,1676.78,4.47
242,Nirvaan Buch,5/17/2023,76,1864.08,4.95
243,Mannat Kulkarni,1/9/2023,46,418.09,3.63
244,Indranil Hari,12/22/2022,88,726.21,3.92
245,Himmat Banik,2/16/2023,13,537.54,4.98
246,Uthkarsh Shan,2/23/2023,26,1304.86,3.07
247,Kimaya Jha,2/27/2023,47,208.07,4.18
