driver_id,driver_name,join_date,rating,total_rides,earnings
101,Seher Bava,8/3/2023,4.63,112,1442.1
102,Uthkarsh Dayal,10/25/2022,3.36,433,4818.06
103,Ayesha Reddy,10/17/2022,4.98,466,1613.25
104,Veer D’Alia,3/26/2023,3.5,426,3664.06
105,Zoya Dixit,1/21/2023,4.21,95,3880.99
106,Farhan Bajwa,6/25/2023,3.4,66,3561.11
107,Nirvi Ganesh,10/1/2022,4.96,299,3369.56
108,Charvi Taneja,2/19/2023,3.53,260,2971.04
109,Vanya Mane,1/2/2023,3.45,461,4950.14
110,Zeeshan Doctor,7/20/2023,4.89,101,763.17
111,Bhamini Bhattacharyya,1/11/2023,4.17,194,1261.25
112,Samar Bahri,1/30/2023,4.42,219,3734.68
113,Fateh Raval,8/2/2023,4.84,361,1534.21
114,Hridaan Bajaj,7/31/2023,4.77,163,3225.29
115,Kabir Kothari,6/9/2023,4.33,337,2173.77
116,Shanaya Saran,6/27/2023,4.18,157,574.87
117,Sumer Lala,3/12/2023,3.02,105,3795.24
118,Advika Reddy,10/4/2022,3.7,265,1847.12
119,Shaan Kota,11/15/2022,4.77,429,1256.51
120,Vanya Manne,9/27/2022,4.11,123,4782.26
121,Advika Chauhan,6/28/2023,3.45,405,1712.38
122,Sana Dhar,5/12/2023,3.52,193,4681.3
123,Romil Ghosh,10/21/2022,3.56,101,1967.46
124,Shaan Ratti,9/14/2022,3.49,117,4861.23
125,Jayant Chander,10/30/2022,3.99,273,700.03
126,Raunak Balay,7/23/2023,4.99,353,1436.15
127,Vivaan Kadakia,5/20/2023,4.31,157,4330.07
128,Vidur Rajagopal,2/7/2023,3.17,225,2826.55
129,Aarush Mammen,4/13/2023,3.35,387,2098.31
130,Jivin Chander,2/1/2023,4.32,303,1987.06
131,Adah Deshpande,11/23/2022,3.67,345,650.54
132,Renee Dugar,2/21/2023,4.93,366,728.82
133,Onkar Master,6/7/2023,3.4,296,743.66
134,Dharmajan Babu,3/5/2023,3.21,460,4314.5
135,Hiran Sahni,7/13/2023,4.96,360,3273.87
136,Nirvi Rege,1/28/2023,3.66,135,3419.37
137,Anay Arora,12/27/2022,4.68,182,3433.81
138,Advika Gour,5/11/2023,3.38,203,4366.35
139,Aarav Dayal,5/5/2023,4.34,221,4162.87
140,Yuvraj  Mani,12/30/2022,3.48,323,668.1
141,Raunak Luthra,2/1/2023,4.41,320,2981.06
142,Suhana Toor,4/1/2023,3.99,294,4319.45
143,Nakul Swaminathan,11/12/2022,3.15,201,1841.59
144,Bhamini Dani,11/26/2022,3.38,233,3510.27
145,Adira Dash,7/25/2023,3.13,291,3723.25
146,Manjari Warrior,9/6/2022,4,416,2554.78
147,Arhaan Dutt,6/10/2023,4.63,459,2767.79
148,Kimaya Sur,8/23/2022,4.91,88,4900.94
149,Elakshi Mahal,3/30/2023,4.47,484,1853.37
150,Ishita Singhal,2/3/2023,4.05,408,2339.03
151,Lagan Golla,5/26/2023,4.05,278,2858.61
152,Armaan Dayal,10/30/2022,3.73,402,3512.72
153,Reyansh Chawla,7/14/2023,3.04,458,4751.06
154,Lakshit Srinivas,6/20/2023,4.71,361,3218.9
155,Kabir Wadhwa,4/4/2023,3.65,50,4820.41
156,Aradhya Lal,11/5/2022,3.12,499,1660.43
157,Hrishita Mangat,11/14/2022,4.89,270,4275.88
158,Hansh Mall,4/21/2023,3.46,393,2948.97
159,Nirvaan Ganesh,4/18/2023,3.6,66,3158.25
160,Piya Khurana,11/29/2022,3.8,417,4987.8
161,Zoya Handa,1/17/2023,3.21,125,558.05
162,Tara Tella,5/5/2023,3.91,202,809.97
163,Arhaan Shukla,11/28/2022,4.74,469,2501.94
164,Parinaaz Batra,7/14/2023,3.5,282,3756.16
165,Shanaya Krishnan,3/24/2023,3.47,388,782
166,Madhav Korpal,12/9/2022,3.79,131,1484.45
167,Jiya Sani,4/13/2023,3.49,444,1063.51
168,Neelofar Kannan,12/5/2022,4.48,404,2355.1
169,Arnav Sibal,6/30/2023,4.63,138,4776.79
170,Kabir Shetty,10/18/2022,3.53,414,1417.47
171,Gokul Rama,10/11/2022,3.97,83,2454.77
172,Prerak Srinivasan,12/21/2022,3,448,3788.29
173,Nirvaan Karnik,2/23/2023,4.86,436,3886.44
174,Anika Loyal,9/22/2022,4.07,231,4634.55
175,Azad Ramanathan,11/5/2022,3.16,279,1652.07
176,Kabir Srivastava,8/25/2022,3.89,116,4854.12
177,Divij Ratta,9/6/2022,3.3,109,3649.62
178,Ishaan Ben,6/7/2023,4.38,383,1059.73
179,Fateh Varma,9/8/2022,3.97,353,2170.86
180,Anahi Loke,9/20/2022,4.07,397,4264.59
181,Farhan Mangat,2/15/2023,3.3,292,2411.43
182,Akarsh Tailor,12/23/2022,4.88,65,1898.57
183,Shamik Dasgupta,9/1/2022,4.65,50,3001.78
184,Raunak Goswami,6/23/2023,3.24,436,1066.21
185,Nakul Jain,2/6/2023,4.25,92,881.95
186,Jiya Johal,4/24/2023,3.5,364,3606.01
187,Kabir Kohli,7/15/2023,4.89,402,4187.2
188,Anvi Walia,8/14/2022,4.84,83,4154.9
189,Reyansh Bansal,4/7/2023,3.8,484,2957.91
190,Ela Chandran,10/24/2022,4.47,247,4179.86
191,Azad Rege,8/19/2022,4.25,111,4865.08
192,Divit Lad,12/24/2022,4.14,393,2450.15
193,Hazel Chandra,12/2/2022,4.79,342,3458.42
194,Dharmajan Krish,1/29/2023,4.78,479,2130.19
195,Ehsaan Kalla,1/1/2023,3.17,329,2324.99
196,Misha Thakkar,10/21/2022,3.8,95,2512.15
197,Indrans Mand,1/7/2023,4.72,158,3763.25
198,Mannat Batta,7/16/2023,3.98,65,2282
199,Armaan Garg,4/6/2023,4.91,353,3460.85
200,Manjari Dani,8/5/2023,3.99,449,4907.61
